Date,Open,High,Low,Close,Volume,Adj Close
2015-01-08,16.60,16.89,16.43,16.50,27143300,16.50
2015-01-07,16.80,16.90,16.45,16.67,32550000,16.67
2015-01-06,16.26,17.10,16.00,16.89,49722100,16.89
2015-01-05,16.03,16.50,15.61,16.29,39952300,16.29
2015-01-02,15.81,15.81,15.81,15.81,000,15.81
2015-01-01,15.81,15.81,15.81,15.81,000,15.81
2014-12-31,15.60,15.89,15.55,15.81,21880400,15.81
2014-12-30,16.52,16.63,15.53,15.55,43558200,15.55
2014-12-29,16.90,16.91,16.29,16.51,35550800,16.51
2014-12-26,17.00,17.06,16.67,16.92,35995900,16.92
2014-12-25,16.50,17.16,16.35,17.00,47865600,17.00
2014-12-24,16.38,16.84,16.18,16.40,42683500,16.40
2014-12-23,16.40,16.97,16.15,16.27,29462200,16.27
2014-12-22,17.60,17.60,16.25,16.40,48526900,16.40
2014-12-19,17.89,18.23,17.28,17.56,45703100,17.56
2014-12-18,18.39,18.42,17.86,17.96,52124000,17.96
2014-12-17,18.00,18.94,17.77,18.55,89274800,18.55
2014-12-16,18.07,18.14,17.73,18.09,65086200,18.09
2014-12-15,18.59,19.21,18.30,18.41,114213800,18.41
2014-12-12,17.65,18.11,17.00,18.11,111489100,18.11
2014-12-11,15.64,16.55,15.52,16.46,64551700,16.46
2014-12-10,15.05,15.72,14.97,15.64,34953200,15.64
2014-12-09,15.97,16.20,14.91,15.01,67511900,15.01
2014-12-08,15.86,16.30,15.62,15.98,47044100,15.98
2014-12-05,16.75,16.83,15.52,15.99,69820000,15.99
2014-12-04,16.68,17.03,16.50,16.72,66867200,16.72
2014-12-03,16.05,17.17,15.70,16.71,90391700,16.71
2014-12-02,15.75,16.49,15.65,16.12,78182000,16.12
2014-12-01,15.80,16.48,15.69,15.81,67503900,15.81
2014-11-28,15.23,16.50,15.07,15.95,103452100,15.95
2014-11-27,15.69,15.83,15.18,15.38,60592500,15.38
2014-11-26,15.52,15.55,14.99,15.27,65138600,15.27
2014-11-25,15.60,15.90,15.44,15.58,58591900,15.58
2014-11-24,15.18,15.80,15.02,15.61,74662700,15.61
2014-11-21,14.82,15.45,14.82,15.09,63754100,15.09
2014-11-20,15.00,15.15,14.77,14.89,71572200,14.89
2014-11-19,14.18,15.62,14.10,15.27,160875800,15.27
2014-11-18,14.08,14.22,13.93,14.20,19316400,14.20
2014-11-17,14.06,14.18,13.89,14.08,20072200,14.08
2014-11-14,14.08,14.20,13.89,14.02,18614000,14.02
2014-11-13,14.46,14.49,14.06,14.17,24814300,14.17
2014-11-12,14.04,14.46,13.92,14.45,24335100,14.45
2014-11-11,14.76,14.81,13.90,14.02,39251200,14.02
2014-11-10,14.46,14.85,14.38,14.74,33483100,14.74
2014-11-07,14.28,14.86,14.25,14.45,57891000,14.45
2014-11-06,14.22,14.43,14.11,14.35,39957200,14.35
2014-11-05,14.05,14.12,13.80,13.82,24970900,13.82
2014-11-04,14.26,14.37,13.98,14.08,17934100,14.08
2014-11-03,14.04,14.40,14.03,14.30,23257600,14.30
2014-10-31,14.31,14.35,13.91,14.07,28697500,14.07
2014-10-30,14.50,14.50,14.21,14.30,29073300,14.30
2014-10-29,14.45,14.69,14.42,14.51,27359000,14.51
2014-10-28,14.23,14.46,14.22,14.43,15693000,14.43
2014-10-27,14.00,14.17,13.90,14.16,10557800,14.16
2014-10-24,13.94,14.16,13.88,13.97,11054000,13.97
2014-10-23,14.24,14.35,13.71,13.92,19109000,13.92
2014-10-22,14.38,14.69,14.20,14.24,19451800,14.24
2014-10-21,14.85,14.88,14.37,14.39,21982900,14.39
2014-10-20,14.48,14.85,14.44,14.79,24139100,14.79
2014-10-17,14.30,14.54,13.98,14.42,24536600,14.42
2014-10-16,14.75,14.85,14.26,14.28,27644900,14.28
2014-10-15,14.89,14.99,14.56,14.83,23112700,14.83
2014-10-14,14.81,15.16,14.74,14.89,23417500,14.89
2014-10-13,15.07,15.07,14.53,14.84,27497700,14.84
2014-10-10,15.33,15.41,14.99,15.09,35249000,15.09
2014-10-09,15.75,15.78,15.20,15.42,43818900,15.42
2014-10-08,15.88,15.88,15.48,15.73,49358900,15.73
2014-10-07,15.76,15.76,15.76,15.76,000,15.76
2014-10-06,15.76,15.76,15.76,15.76,000,15.76
2014-10-03,15.76,15.76,15.76,15.76,000,15.76
2014-10-02,15.76,15.76,15.76,15.76,000,15.76
2014-10-01,15.76,15.76,15.76,15.76,000,15.76
2014-09-30,15.13,15.92,15.10,15.76,62154900,15.76
2014-09-29,14.91,15.28,14.91,15.07,30864600,15.07
2014-09-26,15.01,15.30,14.96,15.01,33084100,15.01
2014-09-25,15.08,15.34,14.94,15.05,44283700,15.05
2014-09-24,14.78,15.15,14.67,15.01,33229700,15.01
2014-09-23,14.73,14.86,14.52,14.82,27173400,14.82
2014-09-22,14.96,15.29,14.80,14.82,41516700,14.82
2014-09-19,14.75,15.08,14.62,14.93,34914600,14.93
2014-09-18,14.68,14.80,14.46,14.74,27407800,14.74
2014-09-17,14.65,14.75,14.36,14.67,39070300,14.67
2014-09-16,15.20,15.37,14.51,14.60,57542000,14.60
2014-09-15,15.00,15.37,14.74,15.31,78869400,15.31
2014-09-12,15.56,15.75,14.89,15.12,83463100,15.12
2014-09-11,14.14,15.39,14.13,15.39,59947200,15.39
2014-09-10,14.08,14.16,13.95,13.99,21954300,13.99
2014-09-09,13.95,14.17,13.78,14.09,33053400,14.09
2014-09-08,13.89,13.89,13.89,13.89,000,13.89
2014-09-05,13.88,13.96,13.72,13.89,28224400,13.89
2014-09-04,13.97,14.00,13.85,13.94,31278100,13.94
2014-09-03,14.10,14.24,13.90,14.01,28851500,14.01
2014-09-02,13.93,14.18,13.76,14.05,33348000,14.05
2014-09-01,13.64,13.95,13.60,13.90,24550400,13.90
2014-08-29,13.39,13.67,13.20,13.65,17541500,13.65
2014-08-28,13.33,13.56,13.28,13.34,17834600,13.34
2014-08-27,13.06,13.47,13.06,13.25,18158400,13.25
2014-08-26,13.47,13.50,12.99,13.08,21069900,13.08
2014-08-25,13.73,13.93,13.46,13.48,23444800,13.48
2014-08-22,13.89,13.92,13.66,13.77,18827900,13.77
2014-08-21,13.79,13.94,13.60,13.92,21388500,13.92
2014-08-20,14.21,14.22,13.76,13.83,33140300,13.83
2014-08-19,13.98,14.68,13.98,14.18,57764200,14.18
2014-08-18,14.00,14.14,13.73,13.87,49204200,13.87
2014-08-15,13.21,13.70,13.13,13.62,38958200,13.62
2014-08-14,13.12,13.53,13.10,13.18,24877500,13.18
2014-08-13,13.40,13.41,12.97,13.19,23796900,13.19
2014-08-12,13.17,13.64,13.10,13.43,33067600,13.43
2014-08-11,13.26,13.42,13.05,13.21,21606800,13.21
2014-08-08,12.95,13.34,12.88,13.20,30416400,13.20
2014-08-07,12.76,13.04,12.76,12.85,22886200,12.85
2014-08-06,12.85,12.85,12.62,12.78,13999800,12.78
2014-08-05,12.68,12.94,12.63,12.90,20650100,12.90
2014-08-04,12.60,12.82,12.59,12.68,12877700,12.68
2014-08-01,12.72,12.90,12.44,12.48,15624700,12.48
2014-07-31,12.68,12.77,12.62,12.76,13732900,12.76
2014-07-30,12.66,12.87,12.42,12.81,24945900,12.81
2014-07-29,12.50,12.87,12.50,12.65,20224100,12.65
2014-07-28,12.44,12.58,12.30,12.51,20973100,12.51
2014-07-25,12.05,12.43,11.94,12.37,16183600,12.37
2014-07-24,11.95,12.12,11.71,12.07,13741700,12.07
2014-07-23,12.32,12.36,11.88,11.93,14565200,11.93
2014-07-22,12.08,12.41,12.08,12.34,8646800,12.34
2014-07-21,12.12,12.25,12.11,12.22,6257000,12.22
2014-07-18,12.20,12.36,12.10,12.14,10986700,12.14
2014-07-17,12.74,12.74,12.18,12.27,17568600,12.27
2014-07-16,12.70,12.89,12.64,12.80,12634900,12.80
2014-07-15,12.90,12.91,12.69,12.74,11264000,12.74
2014-07-14,12.79,12.96,12.69,12.91,12848000,12.91
2014-07-11,12.70,12.96,12.69,12.79,10699800,12.79
2014-07-10,13.10,13.27,12.60,12.69,21313500,12.69
2014-07-09,13.49,13.54,13.10,13.15,18980900,13.15
2014-07-08,13.38,13.69,13.30,13.61,18657500,13.61
2014-07-07,13.52,13.60,13.14,13.35,14237200,13.35
2014-07-04,13.45,13.77,13.40,13.49,17294500,13.49
2014-07-03,13.51,13.75,13.34,13.42,17179800,13.42
2014-07-02,13.70,13.89,13.32,13.55,20489500,13.55
2014-07-01,13.60,14.15,13.46,13.77,25114000,13.77
2014-06-30,13.36,13.56,13.23,13.49,17743000,13.49
2014-06-27,13.40,13.55,13.23,13.35,15908300,13.35
2014-06-26,12.91,13.50,12.91,13.43,21448300,13.43
2014-06-25,13.37,13.37,12.77,12.88,13770600,12.88
2014-06-24,12.99,13.43,12.93,13.30,16908900,13.30
2014-06-23,12.92,13.23,12.83,13.00,13080500,13.00
2014-06-20,12.62,13.06,12.56,12.88,14806700,12.88
2014-06-19,13.52,13.55,12.44,12.63,30338900,12.63
2014-06-18,14.00,14.12,13.67,13.71,34799500,13.61
2014-06-17,13.25,14.69,13.25,14.21,55342700,14.11
2014-06-16,13.42,13.79,13.33,13.35,30040400,13.25
2014-06-13,13.12,13.61,12.92,13.33,36662300,13.23
2014-06-12,12.73,13.17,12.64,13.06,24605200,12.97
2014-06-11,12.74,13.10,12.68,12.82,23205500,12.73
2014-06-10,12.31,12.90,12.31,12.80,24152900,12.71
2014-06-09,12.30,12.47,12.20,12.31,15335900,12.22
